Order_Number,Customer_ID,Accessory_ID,Accessory_Name,Purchase_Date,Price,Discount,Final_Price
ORD10500,CUST1078,AC003,ZenTime Metal Band,2025-01-01,69.99,11,62.29
ORD10501,CUST1097,AC003,ZenTime Metal Band,2025-01-02,69.99,0,69.99
ORD10502,CUST1205,AC011,ZenTime Premium Gift Box,2025-01-02,59.99,7,55.79
ORD10503,CUST1239,AC003,ZenTime Metal Band,2025-01-03,69.99,5,66.49
ORD10504,CUST1068,AC007,ZenTime Nylon Sport Loop,2025-01-03,34.99,12,30.79
ORD10505,CUST1076,AC012,ZenTime Bike Mount,2025-01-04,19.99,5,18.99
ORD10506,CUST1170,AC013,ZenTime Desk Stand,2025-01-05,29.99,15,25.49
ORD10507,CUST1019,AC014,ZenTime Waterproof Case,2025-01-05,34.99,13,30.44
ORD10508,CUST1152,AC010,ZenTime Running Armband,2025-01-05,22.99,1,22.76
ORD10509,CUST1234,AC014,ZenTime Waterproof Case,2025-01-05,34.99,2,34.29
ORD10510,CUST1208,AC007,ZenTime Nylon Sport Loop,2025-01-06,34.99,8,32.19
ORD10511,CUST1161,AC013,ZenTime Desk Stand,2025-01-07,29.99,3,29.09
ORD10512,CUST1217,AC014,ZenTime Waterproof Case,2025-01-08,34.99,13,30.44
ORD10513,CUST1117,AC008,ZenTime Bluetooth Earbuds,2025-01-08,89.99,6,84.59
ORD10514,CUST1281,AC006,ZenTime Travel Case,2025-01-08,24.99,9,22.74
ORD10515,CUST1143,AC012,ZenTime Bike Mount,2025-01-08,19.99,1,19.79
ORD10516,CUST1141,AC003,ZenTime Metal Band,2025-01-09,69.99,10,62.99
ORD10517,CUST1278,AC007,ZenTime Nylon Sport Loop,2025-01-09,34.99,9,31.84
ORD10518,CUST1136,AC003,ZenTime Metal Band,2025-01-09,69.99,5,66.49
ORD10519,CUST1290,AC010,ZenTime Running Armband,2025-01-09,22.99,14,19.77
ORD10520,CUST1183,AC004,ZenTime Charging Dock,2025-01-09,39.99,10,35.99
ORD10521,CUST1294,AC001,ZenTime Sports Band,2025-01-09,29.99,12,26.39
ORD10522,CUST1001,AC001,ZenTime Sports Band,2025-01-09,29.99,15,25.49
ORD10523,CUST1213,AC012,ZenTime Bike Mount,2025-01-09,19.99,9,18.19
ORD10524,CUST1142,AC007,ZenTime Nylon Sport Loop,2025-01-10,34.99,14,30.09
ORD10525,CUST1042,AC010,ZenTime Running Armband,2025-01-10,22.99,13,20.00
ORD10526,CUST1115,AC006,ZenTime Travel Case,2025-01-11,24.99,8,22.99
ORD10527,CUST1048,AC002,ZenTime Leather Strap,2025-01-12,49.99,11,44.49
ORD10528,CUST1069,AC004,ZenTime Charging Dock,2025-01-12,39.99,4,38.39
ORD10529,CUST1194,AC009,ZenTime Portable Charger,2025-01-12,44.99,2,44.09
ORD10530,CUST1261,AC006,ZenTime Travel Case,2025-01-12,24.99,11,22.24
ORD10531,CUST1228,AC002,ZenTime Leather Strap,2025-01-13,49.99,14,42.99
ORD10532,CUST1015,AC012,ZenTime Bike Mount,2025-01-14,19.99,14,17.19
ORD10533,CUST1081,AC009,ZenTime Portable Charger,2025-01-14,44.99,6,42.29
ORD10534,CUST1275,AC011,ZenTime Premium Gift Box,2025-01-15,59.99,10,53.99
ORD10535,CUST1187,AC008,ZenTime Bluetooth Earbuds,2025-01-15,89.99,15,76.49
ORD10536,CUST1032,AC012,ZenTime Bike Mount,2025-01-16,19.99,6,18.79
ORD10537,CUST1125,AC011,ZenTime Premium Gift Box,2025-01-17,59.99,13,52.19
ORD10538,CUST1199,AC007,ZenTime Nylon Sport Loop,2025-01-17,34.99,9,31.84
ORD10539,CUST1209,AC011,ZenTime Premium Gift Box,2025-01-18,59.99,9,54.59
ORD10540,CUST1124,AC003,ZenTime Metal Band,2025-01-21,69.99,4,67.19
ORD10541,CUST1005,AC005,ZenTime Screen Protector (3-pack),2025-01-22,19.99,12,17.59
ORD10542,CUST1156,AC008,ZenTime Bluetooth Earbuds,2025-01-23,89.99,0,89.99
ORD10543,CUST1255,AC009,ZenTime Portable Charger,2025-01-25,44.99,5,42.74
ORD10544,CUST1286,AC014,ZenTime Waterproof Case,2025-01-26,34.99,0,34.99
ORD10545,CUST1252,AC013,ZenTime Desk Stand,2025-01-27,29.99,0,29.99
ORD10546,CUST1070,AC005,ZenTime Screen Protector (3-pack),2025-01-27,19.99,0,19.99
ORD10547,CUST1287,AC013,ZenTime Desk Stand,2025-01-27,29.99,10,26.99
ORD10548,CUST1016,AC001,ZenTime Sports Band,2025-01-27,29.99,0,29.99
ORD10549,CUST1273,AC012,ZenTime Bike Mount,2025-01-28,19.99,5,18.99
ORD10550,CUST1036,AC008,ZenTime Bluetooth Earbuds,2025-01-28,89.99,15,76.49
ORD10551,CUST1221,AC008,ZenTime Bluetooth Earbuds,2025-01-28,89.99,4,86.39
ORD10552,CUST1181,AC006,ZenTime Travel Case,2025-01-30,24.99,9,22.74
ORD10553,CUST1271,AC012,ZenTime Bike Mount,2025-01-30,19.99,11,17.79
ORD10554,CUST1108,AC013,ZenTime Desk Stand,2025-01-30,29.99,3,29.09
ORD10555,CUST1264,AC013,ZenTime Desk Stand,2025-01-30,29.99,5,28.49
ORD10556,CUST1101,AC007,ZenTime Nylon Sport Loop,2025-01-30,34.99,2,34.29
ORD10557,CUST1050,AC012,ZenTime Bike Mount,2025-01-31,19.99,12,17.59
ORD10558,CUST1191,AC006,ZenTime Travel Case,2025-01-31,24.99,13,21.74
ORD10559,CUST1007,AC005,ZenTime Screen Protector (3-pack),2025-01-31,19.99,8,18.39
ORD10560,CUST1230,AC005,ZenTime Screen Protector (3-pack),2025-01-31,19.99,15,16.99
ORD10561,CUST1058,AC007,ZenTime Nylon Sport Loop,2025-02-02,34.99,6,32.89
ORD10562,CUST1074,AC012,ZenTime Bike Mount,2025-02-02,19.99,13,17.39
ORD10563,CUST1054,AC007,ZenTime Nylon Sport Loop,2025-02-02,34.99,11,31.14
ORD10564,CUST1295,AC010,ZenTime Running Armband,2025-02-02,22.99,0,22.99
ORD10565,CUST1080,AC004,ZenTime Charging Dock,2025-02-03,39.99,5,37.99
ORD10566,CUST1238,AC005,ZenTime Screen Protector (3-pack),2025-02-03,19.99,4,19.19
ORD10567,CUST1020,AC003,ZenTime Metal Band,2025-02-03,69.99,5,66.49
ORD10568,CUST1090,AC007,ZenTime Nylon Sport Loop,2025-02-04,34.99,4,33.59
ORD10569,CUST1037,AC012,ZenTime Bike Mount,2025-02-04,19.99,6,18.79
ORD10570,CUST1177,AC003,ZenTime Metal Band,2025-02-04,69.99,14,60.19
ORD10571,CUST1133,AC010,ZenTime Running Armband,2025-02-04,22.99,5,21.84
ORD10572,CUST1175,AC005,ZenTime Screen Protector (3-pack),2025-02-04,19.99,0,19.99
ORD10573,CUST1267,AC004,ZenTime Charging Dock,2025-02-04,39.99,10,35.99
ORD10574,CUST1064,AC005,ZenTime Screen Protector (3-pack),2025-02-05,19.99,5,18.99
ORD10575,CUST1141,AC014,ZenTime Waterproof Case,2025-02-05,34.99,10,31.49
ORD10576,CUST1025,AC010,ZenTime Running Armband,2025-02-05,22.99,1,22.76
ORD10577,CUST1199,AC012,ZenTime Bike Mount,2025-02-05,19.99,9,18.19
ORD10578,CUST1123,AC004,ZenTime Charging Dock,2025-02-05,39.99,0,39.99
ORD10579,CUST1036,AC014,ZenTime Waterproof Case,2025-02-05,34.99,10,31.49
ORD10580,CUST1056,AC007,ZenTime Nylon Sport Loop,2025-02-06,34.99,3,33.94
ORD10581,CUST1190,AC011,ZenTime Premium Gift Box,2025-02-06,59.99,15,50.99
ORD10582,CUST1194,AC014,ZenTime Waterproof Case,2025-02-08,34.99,2,34.29
ORD10583,CUST1218,AC002,ZenTime Leather Strap,2025-02-08,49.99,12,43.99
ORD10584,CUST1138,AC001,ZenTime Sports Band,2025-02-08,29.99,2,29.39
ORD10585,CUST1068,AC004,ZenTime Charging Dock,2025-02-08,39.99,2,39.19
ORD10586,CUST1174,AC001,ZenTime Sports Band,2025-02-09,29.99,7,27.89
ORD10587,CUST1176,AC002,ZenTime Leather Strap,2025-02-09,49.99,12,43.99
ORD10588,CUST1145,AC013,ZenTime Desk Stand,2025-02-09,29.99,5,28.49
ORD10589,CUST1149,AC002,ZenTime Leather Strap,2025-02-09,49.99,4,47.99
ORD10590,CUST1276,AC007,ZenTime Nylon Sport Loop,2025-02-10,34.99,0,34.99
ORD10591,CUST1117,AC012,ZenTime Bike Mount,2025-02-10,19.99,11,17.79
ORD10592,CUST1078,AC008,ZenTime Bluetooth Earbuds,2025-02-11,89.99,6,84.59
ORD10593,CUST1243,AC006,ZenTime Travel Case,2025-02-11,24.99,8,22.99
ORD10594,CUST1241,AC011,ZenTime Premium Gift Box,2025-02-11,59.99,7,55.79
ORD10595,CUST1179,AC003,ZenTime Metal Band,2025-02-12,69.99,9,63.69
ORD10596,CUST1136,AC004,ZenTime Charging Dock,2025-02-13,39.99,4,38.39
ORD10597,CUST1077,AC009,ZenTime Portable Charger,2025-02-16,44.99,14,38.69
ORD10598,CUST1104,AC006,ZenTime Travel Case,2025-02-16,24.99,9,22.74
ORD10599,CUST1107,AC013,ZenTime Desk Stand,2025-02-16,29.99,12,26.39
ORD10600,CUST1015,AC006,ZenTime Travel Case,2025-02-16,24.99,13,21.74
ORD10601,CUST1104,AC002,ZenTime Leather Strap,2025-02-16,49.99,9,45.49
ORD10602,CUST1074,AC008,ZenTime Bluetooth Earbuds,2025-02-17,89.99,14,77.39
ORD10603,CUST1011,AC005,ZenTime Screen Protector (3-pack),2025-02-17,19.99,3,19.39
ORD10604,CUST1289,AC003,ZenTime Metal Band,2025-02-17,69.99,0,69.99
ORD10605,CUST1111,AC004,ZenTime Charging Dock,2025-02-17,39.99,15,33.99
ORD10606,CUST1194,AC006,ZenTime Travel Case,2025-02-18,24.99,14,21.49
ORD10607,CUST1274,AC008,ZenTime Bluetooth Earbuds,2025-02-18,89.99,1,89.09
ORD10608,CUST1067,AC013,ZenTime Desk Stand,2025-02-18,29.99,4,28.79
ORD10609,CUST1232,AC010,ZenTime Running Armband,2025-02-20,22.99,7,21.38
ORD10610,CUST1172,AC002,ZenTime Leather Strap,2025-02-22,49.99,11,44.49
ORD10611,CUST1233,AC007,ZenTime Nylon Sport Loop,2025-02-22,34.99,10,31.49
ORD10612,CUST1126,AC011,ZenTime Premium Gift Box,2025-02-23,59.99,11,53.39
ORD10613,CUST1007,AC012,ZenTime Bike Mount,2025-02-24,19.99,5,18.99
ORD10614,CUST1100,AC003,ZenTime Metal Band,2025-02-24,69.99,0,69.99
ORD10615,CUST1030,AC004,ZenTime Charging Dock,2025-02-24,39.99,7,37.19
ORD10616,CUST1152,AC010,ZenTime Running Armband,2025-02-24,22.99,9,20.92
ORD10617,CUST1022,AC004,ZenTime Charging Dock,2025-02-24,39.99,4,38.39
ORD10618,CUST1138,AC013,ZenTime Desk Stand,2025-02-25,29.99,5,28.49
ORD10619,CUST1105,AC002,ZenTime Leather Strap,2025-02-26,49.99,15,42.49
ORD10620,CUST1151,AC010,ZenTime Running Armband,2025-02-27,22.99,3,22.30
ORD10621,CUST1135,AC004,ZenTime Charging Dock,2025-02-27,39.99,14,34.39
ORD10622,CUST1249,AC006,ZenTime Travel Case,2025-02-27,24.99,3,24.24
ORD10623,CUST1147,AC006,ZenTime Travel Case,2025-02-27,24.99,6,23.49
ORD10624,CUST1175,AC010,ZenTime Running Armband,2025-03-01,22.99,15,19.54
ORD10625,CUST1064,AC011,ZenTime Premium Gift Box,2025-03-01,59.99,4,57.59
ORD10626,CUST1011,AC005,ZenTime Screen Protector (3-pack),2025-03-01,19.99,4,19.19
ORD10627,CUST1293,AC006,ZenTime Travel Case,2025-03-01,24.99,6,23.49
ORD10628,CUST1049,AC004,ZenTime Charging Dock,2025-03-01,39.99,1,39.59
ORD10629,CUST1149,AC004,ZenTime Charging Dock,2025-03-02,39.99,11,35.59
ORD10630,CUST1241,AC007,ZenTime Nylon Sport Loop,2025-03-02,34.99,15,29.74
ORD10631,CUST1247,AC005,ZenTime Screen Protector (3-pack),2025-03-03,19.99,3,19.39
ORD10632,CUST1195,AC013,ZenTime Desk Stand,2025-03-03,29.99,9,27.29
ORD10633,CUST1278,AC010,ZenTime Running Armband,2025-03-03,22.99,10,20.69
ORD10634,CUST1258,AC009,ZenTime Portable Charger,2025-03-03,44.99,11,40.04
ORD10635,CUST1283,AC002,ZenTime Leather Strap,2025-03-04,49.99,3,48.49
ORD10636,CUST1046,AC014,ZenTime Waterproof Case,2025-03-05,34.99,2,34.29
ORD10637,CUST1195,AC008,ZenTime Bluetooth Earbuds,2025-03-05,89.99,12,79.19
ORD10638,CUST1204,AC011,ZenTime Premium Gift Box,2025-03-05,59.99,13,52.19
ORD10639,CUST1023,AC004,ZenTime Charging Dock,2025-03-07,39.99,1,39.59
ORD10640,CUST1134,AC004,ZenTime Charging Dock,2025-03-07,39.99,13,34.79
ORD10641,CUST1167,AC001,ZenTime Sports Band,2025-03-07,29.99,14,25.79
ORD10642,CUST1225,AC011,ZenTime Premium Gift Box,2025-03-07,59.99,2,58.79
ORD10643,CUST1167,AC004,ZenTime Charging Dock,2025-03-08,39.99,10,35.99
ORD10644,CUST1026,AC012,ZenTime Bike Mount,2025-03-09,19.99,11,17.79
ORD10645,CUST1289,AC001,ZenTime Sports Band,2025-03-09,29.99,4,28.79
ORD10646,CUST1281,AC007,ZenTime Nylon Sport Loop,2025-03-09,34.99,0,34.99
ORD10647,CUST1029,AC008,ZenTime Bluetooth Earbuds,2025-03-09,89.99,5,85.49
ORD10648,CUST1173,AC006,ZenTime Travel Case,2025-03-10,24.99,15,21.24
ORD10649,CUST1182,AC010,ZenTime Running Armband,2025-03-10,22.99,5,21.84
ORD10650,CUST1049,AC009,ZenTime Portable Charger,2025-03-11,44.99,15,38.24
ORD10651,CUST1014,AC003,ZenTime Metal Band,2025-03-11,69.99,10,62.99
ORD10652,CUST1130,AC004,ZenTime Charging Dock,2025-03-11,39.99,8,36.79
ORD10653,CUST1008,AC010,ZenTime Running Armband,2025-03-12,22.99,11,20.46
ORD10654,CUST1271,AC013,ZenTime Desk Stand,2025-03-12,29.99,6,28.19
ORD10655,CUST1035,AC003,ZenTime Metal Band,2025-03-13,69.99,9,63.69
ORD10656,CUST1052,AC009,ZenTime Portable Charger,2025-03-14,44.99,1,44.54
ORD10657,CUST1073,AC014,ZenTime Waterproof Case,2025-03-14,34.99,0,34.99
ORD10658,CUST1283,AC012,ZenTime Bike Mount,2025-03-15,19.99,2,19.59
ORD10659,CUST1192,AC007,ZenTime Nylon Sport Loop,2025-03-15,34.99,9,31.84
ORD10660,CUST1059,AC009,ZenTime Portable Charger,2025-03-15,44.99,3,43.64
ORD10661,CUST1082,AC006,ZenTime Travel Case,2025-03-15,24.99,13,21.74
ORD10662,CUST1006,AC013,ZenTime Desk Stand,2025-03-15,29.99,8,27.59
ORD10663,CUST1155,AC006,ZenTime Travel Case,2025-03-16,24.99,11,22.24
ORD10664,CUST1208,AC005,ZenTime Screen Protector (3-pack),2025-03-17,19.99,0,19.99
ORD10665,CUST1227,AC001,ZenTime Sports Band,2025-03-17,29.99,2,29.39
ORD10666,CUST1297,AC001,ZenTime Sports Band,2025-03-17,29.99,9,27.29
ORD10667,CUST1001,AC007,ZenTime Nylon Sport Loop,2025-03-18,34.99,1,34.64
ORD10668,CUST1099,AC008,ZenTime Bluetooth Earbuds,2025-03-18,89.99,1,89.09
ORD10669,CUST1142,AC010,ZenTime Running Armband,2025-03-18,22.99,1,22.76
ORD10670,CUST1071,AC011,ZenTime Premium Gift Box,2025-03-18,59.99,14,51.59
ORD10671,CUST1127,AC002,ZenTime Leather Strap,2025-03-19,49.99,2,48.99
ORD10672,CUST1193,AC003,ZenTime Metal Band,2025-03-19,69.99,10,62.99
ORD10673,CUST1159,AC003,ZenTime Metal Band,2025-03-19,69.99,9,63.69
ORD10674,CUST1057,AC010,ZenTime Running Armband,2025-03-19,22.99,7,21.38
ORD10675,CUST1080,AC014,ZenTime Waterproof Case,2025-03-20,34.99,11,31.14
ORD10676,CUST1166,AC006,ZenTime Travel Case,2025-03-20,24.99,14,21.49
ORD10677,CUST1195,AC003,ZenTime Metal Band,2025-03-21,69.99,11,62.29
ORD10678,CUST1197,AC011,ZenTime Premium Gift Box,2025-03-21,59.99,5,56.99
ORD10679,CUST1211,AC008,ZenTime Bluetooth Earbuds,2025-03-21,89.99,3,87.29
ORD10680,CUST1244,AC008,ZenTime Bluetooth Earbuds,2025-03-22,89.99,15,76.49
ORD10681,CUST1255,AC011,ZenTime Premium Gift Box,2025-03-22,59.99,6,56.39
ORD10682,CUST1217,AC005,ZenTime Screen Protector (3-pack),2025-03-22,19.99,4,19.19
ORD10683,CUST1191,AC005,ZenTime Screen Protector (3-pack),2025-03-23,19.99,4,19.19
ORD10684,CUST1048,AC005,ZenTime Screen Protector (3-pack),2025-03-23,19.99,11,17.79
ORD10685,CUST1054,AC002,ZenTime Leather Strap,2025-03-24,49.99,11,44.49
ORD10686,CUST1288,AC008,ZenTime Bluetooth Earbuds,2025-03-24,89.99,15,76.49
ORD10687,CUST1007,AC005,ZenTime Screen Protector (3-pack),2025-03-25,19.99,3,19.39
ORD10688,CUST1261,AC010,ZenTime Running Armband,2025-03-25,22.99,5,21.84
ORD10689,CUST1139,AC007,ZenTime Nylon Sport Loop,2025-03-25,34.99,1,34.64
ORD10690,CUST1013,AC014,ZenTime Waterproof Case,2025-03-26,34.99,11,31.14
ORD10691,CUST1275,AC011,ZenTime Premium Gift Box,2025-03-26,59.99,6,56.39
ORD10692,CUST1085,AC013,ZenTime Desk Stand,2025-03-26,29.99,4,28.79
ORD10693,CUST1127,AC002,ZenTime Leather Strap,2025-03-27,49.99,14,42.99
ORD10694,CUST1076,AC001,ZenTime Sports Band,2025-03-28,29.99,4,28.79
ORD10695,CUST1089,AC014,ZenTime Waterproof Case,2025-03-28,34.99,6,32.89
ORD10696,CUST1052,AC006,ZenTime Travel Case,2025-03-28,24.99,11,22.24
ORD10697,CUST1255,AC009,ZenTime Portable Charger,2025-03-30,44.99,6,42.29
ORD10698,CUST1119,AC005,ZenTime Screen Protector (3-pack),2025-03-30,19.99,7,18.59
ORD10699,CUST1260,AC010,ZenTime Running Armband,2025-03-31,22.99,11,20.46