model_id,model_name,price,type,features
ZT001,ZenTime Lite,149.99,Smart Watch,"Heart rate monitor, step counter, sleep tracking, notifications, water resistant"
ZT002,ZenTime Sports,199.99,Smart Watch,"Heart rate monitor, step counter, sleep tracking, notifications, GPS tracking, 20+ sport modes, water resistant 50m, altitude meter"
ZT003,ZenTime Pro,249.99,Smart Watch,"Heart rate monitor, step counter, sleep tracking, notifications, GPS tracking, 30+ sport modes, water resistant 100m, ECG monitor, blood oxygen sensor, built-in music storage, wireless payments"
ZT004,ZenTime Ultra,349.99,Smart Watch,"Heart rate monitor, step counter, sleep tracking, notifications, GPS tracking, 40+ sport modes, water resistant 100m, ECG monitor, blood oxygen sensor, built-in music storage, wireless payments, cellular connectivity, titanium case, sapphire glass, extended battery life"
AC001,ZenTime Sports Band,29.99,Accessory,"Silicone material, sweat resistant, multiple colors, quick-release mechanism"
AC002,ZenTime Leather Strap,49.99,Accessory,"Genuine leather, premium stitching, stainless steel buckle, quick-release mechanism"
AC003,ZenTime Metal Band,69.99,Accessory,"Stainless steel links, adjustable length, fold-over clasp, premium finish"
AC004,ZenTime Charging Dock,39.99,Accessory,"Fast wireless charging, LED status indicator, USB-C connection, anti-slip base"
AC005,ZenTime Screen Protector (3-pack),19.99,Accessory,"Tempered glass, oleophobic coating, edge-to-edge protection, bubble-free installation"
AC006,ZenTime Travel Case,24.99,Accessory,"Hard shell protection, microfiber interior, space for watch and accessories, water resistant"
AC007,ZenTime Nylon Sport Loop,34.99,Accessory,"Breathable woven nylon, adjustable hook-and-loop fastener, lightweight, quick-drying"
AC008,ZenTime Bluetooth Earbuds,89.99,Accessory,"Wireless connection to ZenTime watches, sweat resistant, 8-hour battery life, integrated controls"
AC009,ZenTime Portable Charger,44.99,Accessory,"1000mAh battery capacity, compact design, LED power indicator, compatible with all ZenTime models"
AC010,ZenTime Running Armband,22.99,Accessory,"Secure watch mounting, adjustable strap, sweat-resistant material, reflective elements for visibility"
AC011,ZenTime Premium Gift Box,59.99,Accessory,"Presentation quality box, microfiber cloth, quick start guide, warranty card holder, USB-C cable included"
AC012,ZenTime Bike Mount,19.99,Accessory,"Secure handlebar attachment, quick-release watch holder, adjustable angle"
AC013,ZenTime Desk Stand,29.99,Accessory,"Aluminum construction, cable management, weighted base, compatible with charging dock"
AC014,ZenTime Waterproof Case,34.99,Accessory,"IPX8 rated, transparent touch-sensitive cover, wrist strap included, suitable for swimming and diving"